Date,Ticker,Close_Price
2025-01-01,AAPL,298.43
2025-01-01,MSFT,196.76
2025-01-01,GOOGL,371.56
2025-01-01,AMZN,225.43
2025-01-01,META,228.13
2025-01-02,AAPL,298.7
2025-01-02,MSFT,198.02
2025-01-02,GOOGL,376.53
2025-01-02,AMZN,221.21
2025-01-02,META,246.38
2025-01-03,AAPL,305.52
2025-01-03,MSFT,190.01
2025-01-03,GOOGL,381.37
2025-01-03,AMZN,226.12
2025-01-03,META,249.78
2025-01-06,AAPL,312.16
2025-01-06,MSFT,199.8
2025-01-06,GOOGL,388.55
2025-01-06,AMZN,215.25
2025-01-06,META,249.27
2025-01-07,AAPL,306.74
2025-01-07,MSFT,207.21
2025-01-07,GOOGL,376.78
2025-01-07,AMZN,209.72
2025-01-07,META,245.74
2025-01-08,AAPL,304.78
2025-01-08,MSFT,205.98
2025-01-08,GOOGL,357.95
2025-01-08,AMZN,221.82
2025-01-08,META,246.5
2025-01-09,AAPL,302.6
2025-01-09,MSFT,200.27
2025-01-09,GOOGL,364.87
2025-01-09,AMZN,218.36
2025-01-09,META,244.58
2025-01-10,AAPL,305.68
2025-01-10,MSFT,202.85
2025-01-10,GOOGL,362.88
2025-01-10,AMZN,209.78
2025-01-10,META,246.01
2025-01-13,AAPL,308.85
2025-01-13,MSFT,202.43
2025-01-13,GOOGL,382.64
2025-01-13,AMZN,205.02
2025-01-13,META,245.63
2025-01-14,AAPL,313.8
2025-01-14,MSFT,202.35
2025-01-14,GOOGL,384.55
2025-01-14,AMZN,205.12
2025-01-14,META,250.89
2025-01-15,AAPL,326.9
2025-01-15,MSFT,203.1
2025-01-15,GOOGL,384.31
2025-01-15,AMZN,204.71
2025-01-15,META,249.44
2025-01-16,AAPL,330.21
2025-01-16,MSFT,192.55
2025-01-16,GOOGL,390.64
2025-01-16,AMZN,204.14
2025-01-16,META,248.57
2025-01-17,AAPL,339.21
2025-01-17,MSFT,189.34
2025-01-17,GOOGL,406.39
2025-01-17,AMZN,205.53
2025-01-17,META,248.09
2025-01-20,AAPL,344.03
2025-01-20,MSFT,198.3
2025-01-20,GOOGL,394.59
2025-01-20,AMZN,205.81
2025-01-20,META,256.07
2025-01-21,AAPL,343.37
2025-01-21,MSFT,198.88
2025-01-21,GOOGL,404.52
2025-01-21,AMZN,209.66
2025-01-21,META,258.16
2025-01-22,AAPL,346.5
2025-01-22,MSFT,196.78
2025-01-22,GOOGL,397.3
2025-01-22,AMZN,214.92
2025-01-22,META,255.73
2025-01-23,AAPL,351.4
2025-01-23,MSFT,193.99
2025-01-23,GOOGL,401.78
2025-01-23,AMZN,221.19
2025-01-23,META,254.45
2025-01-24,AAPL,365.46
2025-01-24,MSFT,187.49
2025-01-24,GOOGL,413.7
2025-01-24,AMZN,213.24
2025-01-24,META,249.9
2025-01-27,AAPL,361.93
2025-01-27,MSFT,194.83
2025-01-27,GOOGL,435.67
2025-01-27,AMZN,210.59
2025-01-27,META,251.04
2025-01-28,AAPL,344.95
2025-01-28,MSFT,195.86
2025-01-28,GOOGL,429.68
2025-01-28,AMZN,203.58
2025-01-28,META,244.7
2025-01-29,AAPL,346.21
2025-01-29,MSFT,186.29
2025-01-29,GOOGL,421.35
2025-01-29,AMZN,197.38
2025-01-29,META,250.23
2025-01-30,AAPL,343.11
2025-01-30,MSFT,186.04
2025-01-30,GOOGL,424.7
2025-01-30,AMZN,192.58
2025-01-30,META,254.21
2025-01-31,AAPL,340.91
2025-01-31,MSFT,191.71
