doc_id,entity_id
DOC-0001,E004
DOC-0002,E010
DOC-0003,E015
DOC-0004,E015
DOC-0005,E013
DOC-0006,E007
DOC-0007,E003
DOC-0008,E002
DOC-0009,E006
DOC-0010,E012
DOC-0011,E005
DOC-0012,E013
DOC-0013,E008
DOC-0014,E012
DOC-0015,E017
DOC-0016,E010
DOC-0017,E003
DOC-0018,E014
DOC-0019,E003
DOC-0020,E021
DOC-0021,E002
DOC-0022,E014
DOC-0023,E005
DOC-0024,E013
DOC-0025,E006
DOC-0026,E017
DOC-0027,E004
DOC-0028,E012
DOC-0029,E015
DOC-0030,E001
DOC-0031,E017
DOC-0032,E020
DOC-0033,E008
DOC-0034,E008
DOC-0035,E013
DOC-0036,E016
DOC-0037,E002
DOC-0038,E010
DOC-0039,E019
DOC-0040,E009
DOC-0041,E021
DOC-0042,E015
DOC-0043,E014
DOC-0044,E001
DOC-0045,E021
DOC-0046,E019
DOC-0047,E009
DOC-0048,E001
DOC-0049,E008
DOC-0050,E006
DOC-0051,E019
DOC-0052,E004
DOC-0053,E007
DOC-0054,E016
DOC-0055,E001
DOC-0056,E016
DOC-0057,E013
DOC-0058,E021
DOC-0059,E007
DOC-0060,E012
DOC-0061,E010
DOC-0062,E008
DOC-0063,E021
DOC-0064,E008
DOC-0065,E010
DOC-0066,E016
DOC-0067,E014
DOC-0068,E020
DOC-0069,E013
DOC-0070,E006
DOC-0071,E014
DOC-0072,E018
DOC-0073,E021
DOC-0074,E021
DOC-0075,E016
DOC-0076,E014
DOC-0077,E001
DOC-0078,E012
DOC-0079,E002
DOC-0080,E012
DOC-0081,E019
DOC-0082,E008
DOC-0083,E020
DOC-0084,E014
DOC-0085,E007
DOC-0086,E014
DOC-0087,E020
DOC-0088,E017
DOC-0089,E012
DOC-0090,E006
DOC-0091,E012
DOC-0092,E016
DOC-0093,E018
DOC-0094,E015
DOC-0095,E009
DOC-0096,E016
DOC-0097,E010
DOC-0098,E010
DOC-0099,E001
DOC-0100,E010
DOC-0101,E004
DOC-0102,E019
DOC-0103,E011
DOC-0104,E014
DOC-0105,E018
DOC-0106,E021
DOC-0107,E016
DOC-0108,E017
DOC-0109,E004
DOC-0110,E020
DOC-0111,E010
