sku_id,last_updated,unit_price,stock_qty,supplier_email,warehouse_id,fill_rate
SKU-000151,2024-05-23,-33.08,525,rpyh@yahoo.com,WH02,74.26
SKU-000152,2024-04-01,-362.76,840,jrkitdy@yahoo.com,WH01,86.15
SKU-000153,2024-06-19,-428.08,128,gffonrhn@yahoo.com,WH04,20.48
SKU-000154,2024-04-23,-5.37,747,ulrzzks@outlook.com,WH04,75.14
SKU-000155,2024-07-27,-291.15,417,wvxunads@yahoo.com,WH03,6.89
SKU-000156,2024-07-24,-93.24,982,vswkvey@corp.io,WH04,74.46
SKU-000157,2024-10-24,-9.44,854,vlhtpim@corp.io,WH04,96.46
SKU-000158,2024-12-02,-55.34,910,kips@outlook.com,WH01,68.42
SKU-000159,2024-07-26,-172.04,219,zfdupmk@yahoo.com,WH01,30.36
SKU-000160,2024-10-21,-337.4,681,zzsyhga@gmail.com,WH05,61.25
SKU-000161,2024-08-24,-333.23,295,wthuo@gmail.com,WH01,85.85
SKU-000162,2024-09-27,-184.94,739,lrvjefok@corp.io,WH04,44.36
SKU-000163,2024-04-05,-196.4,215,yuiccd@corp.io,WH04,52.36
SKU-000164,2024-12-19,-224.42,391,vxamorij@outlook.com,WH01,69.77
SKU-000165,2024-05-29,-156.66,893,eiqvqrk@gmail.com,WH01,59.69
SKU-000166,2024-05-31,342.18,5477,nhbxon@outlook.com,WH03,17.76
SKU-000167,2024-05-03,435.83,3990,hugmod@outlook.com,WH02,2.84
SKU-000168,2024-01-19,397.85,4164,iyuri@corp.io,WH01,20.03
SKU-000169,2024-02-22,371.25,3216,lchcjsi@gmail.com,WH02,72.85
SKU-000170,2024-04-06,251.58,3943,rgnruwk@corp.io,WH02,43.06
SKU-000171,2024-11-20,388.33,3517,ekpddms@gmail.com,WH04,45.2
SKU-000172,2024-11-01,110.31,4114,rjyrkm@corp.io,WH02,6.21
SKU-000173,2024-04-06,447.43,5938,bautgn@outlook.com,WH05,88.31
SKU-000174,2024-06-30,95.95,5878,llhrmu@corp.io,WH04,22.33
SKU-000175,2024-11-09,409.82,4805,tomlcd@corp.io,WH05,20.77
SKU-000176,2024-03-11,174.72,4294,lxfoay@corp.io,WH01,45.34
SKU-000177,2024-11-13,141.24,4357,ugyn@gmail.com,WH01,65.5
SKU-000178,2024-07-26,74.52,4698,rgzcf@corp.io,WH05,75.2
SKU-000179,2024-08-15,83.0,4078,lvgsxugr@outlook.com,WH04,75.03
SKU-000180,2024-06-25,211.92,3141,jjknai@outlook.com,WH03,89.89
SKU-000181,2024-05-14,462.2,5309,jicmtw@corp.io,WH04,97.32
SKU-000182,2024-12-20,272.79,4381,yegnzoj@gmail.com,WH02,60.47
SKU-000183,2024-12-19,109.49,4463,ncacuwez@gmail.com,WH04,71.37
SKU-000184,2024-09-02,471.17,5823,qmcabt@yahoo.com,WH01,28.5
SKU-000185,2024-11-13,321.73,4778,nfssoz@yahoo.com,WH04,16.1
SKU-000186,2024-10-26,342.29,4369,ldbrchs@yahoo.com,WH04,23.77
SKU-000187,2024-12-30,379.51,4814,etwtydas@yahoo.com,WH02,75.33
SKU-000188,2024-11-22,155.36,4234,qvdjspp@corp.io,WH02,15.17
SKU-000189,2024-04-08,257.25,3488,yyfba@outlook.com,WH01,22.85
SKU-000190,2026-12-10,434.74,531,pqmewxkl@yahoo.com,WH01,50.04
SKU-000191,2026-06-26,301.08,750,gvwg@outlook.com,WH01,93.39
SKU-000192,2026-12-19,27.37,703,pcnz@gmail.com,WH03,64.57
SKU-000193,2027-03-18,206.43,355,qcdtw@gmail.com,WH05,20.25
SKU-000194,2026-11-30,332.88,497,zfjrgtnh@yahoo.com,WH02,48.36
SKU-000195,2026-04-04,90.58,239,iddiiz@outlook.com,WH04,18.72
SKU-000196,2027-01-03,474.85,525,vnhrhaak@corp.io,WH05,88.59
SKU-000197,2027-02-09,444.91,305,qmvvpgk@yahoo.com,WH03,16.14
SKU-000198,2026-12-27,474.71,543,yvsfyuhj@gmail.com,WH03,62.46
SKU-000199,2027-02-07,472.66,650,ldvejb@corp.io,WH05,82.46
SKU-000200,2027-02-28,24.49,514,ynno@yahoo.com,WH04,28.75
SKU-000201,2027-01-05,423.46,461,hndkccxw@corp.io,WH03,65.16
SKU-000202,2026-06-04,483.2,916,oosjm@corp.io,WH01,30.26
SKU-000203,2027-01-14,32.83,583,kyuycqu@yahoo.com,WH03,28.48
SKU-000204,2027-02-17,256.53,506,ocnfmbcx@corp.io,WH02,25.99
SKU-000205,2026-04-24,63.56,745,afvgpmvw@yahoo.com,WH05,54.73
SKU-000206,2026-05-02,7.51,374,acdutycg@outlook.com,WH01,63.0
SKU-000207,2026-07-12,145.06,499,rfzlayss@yahoo.com,WH02,18.8
SKU-000208,2026-12-18,65.73,831,ugly@yahoo.com,WH01,97.9
SKU-000209,2026-10-05,419.38,8,vupe@corp.io,WH05,48.48
SKU-000210,2027-02-14,464.67,556,waumu@gmail.com,WH04,27.58
SKU-000211,2027-02-06,113.86,376,zhhdop@gmail.com,WH05,56.31
SKU-000212,2026-08-14,422.37,144,ohsgpcwg@corp.io,WH04,29.38
SKU-000213,2026-12-19,456.33,439,vwbvqhkq@yahoo.com,WH04,69.01
SKU-000214,2024-09-25,428.76,328,tzoonf@outlook.com,WH01,232.5
SKU-000215,2024-08-03,105.67,812,zjtpct@yahoo.com,WH03,-38.51
SKU-000216,2024-12-07,184.05,149,elprexzp@gmail.com,WH02,-110.32
SKU-000217,2024-08-24,187.86,955,iiwshgms@yahoo.com,WH01,-132.75
SKU-000218,2024-04-25,291.5,344,grbwlzo@corp.io,WH01,204.36
SKU-000219,2024-05-11,402.12,457,avzcmkts@outlook.com,WH02,202.41
SKU-000220,2024-06-11,173.87,720,fcmtp@gmail.com,WH02,122.16
SKU-000221,2024-09-15,192.21,868,dkvm@yahoo.com,WH05,-59.99
SKU-000222,2024-04-06,476.66,213,ktetzw@corp.io,WH03,-140.84
SKU-000223,2024-12-16,11.62,695,hncdcul@outlook.com,WH04,-47.65
SKU-000224,2024-01-31,332.47,415,muviyhb@corp.io,WH02,-132.32
SKU-000225,2024-03-11,379.46,540,fkrhnwcg@corp.io,WH03,165.68
SKU-000226,2024-05-14,241.53,853,xusmwny@gmail.com,WH04,121.39
SKU-000227,2024-02-29,21.64,93,xylfa@gmail.com,WH05,198.42
SKU-000228,2024-02-08,339.47,377,xapzeqm@corp.io,WH04,164.43
SKU-000229,2024-09-05,489.46,791,sjmhwi@outlook.com,WH05,141.39
SKU-000230,2024-12-23,149.67,383,npkby@outlook.com,WH04,-69.69
SKU-000231,2024-09-13,5.07,62,zerdse@outlook.com,WH05,195.66
SKU-000232,2024-11-13,496.82,733,qncbb@corp.io,WH05,-53.93
SKU-000233,2024-11-02,467.3,698,znjk@yahoo.com,WH03,-86.11
SKU-000234,2024-06-14,98.17,729,vbyuzq@corp.io,WH03,221.35
SKU-000235,2024-10-27,183.88,982,dtoma@gmail.com,WH03,157.05
SKU-000236,2024-09-29,452.18,713,toybds@gmail.com,WH02,173.7
SKU-000237,2024-10-12,156.87,861,,WH04,11.01
SKU-000238,2024-10-19,33.26,378,,WH05,80.32
SKU-000239,2024-11-28,243.67,328,,WH02,94.42
SKU-000240,2024-01-01,30.25,687,,WH02,34.01
SKU-000241,2024-05-30,2.74,689,,WH05,49.04
SKU-000242,2024-01-01,413.55,930,,WH03,60.93
SKU-000243,2024-04-27,196.54,579,,WH04,6.73
SKU-000244,2024-05-09,296.55,738,,WH02,17.21
SKU-000245,2024-07-24,419.66,648,,WH03,27.86
SKU-000246,2024-11-06,284.06,985,,WH04,96.89
SKU-000247,2024-08-23,46.05,268,,WH05,38.44
SKU-000248,2024-09-04,456.73,9,,WH01,90.18
SKU-000249,2024-10-18,324.52,979,,WH03,88.55
SKU-000250,2024-08-06,444.25,137,xgkobw@outlook.com,WH05,76.58
SKU-000251,2024-06-03,281.89,700,nxvjn@yahoo.com,WH01,41.99
SKU-000252,2024-09-05,316.14,333,rgqkrjd@corp.io,WH04,88.07
SKU-000253,2024-06-23,352.64,113,wsksqw@gmail.com,WH03,32.76
SKU-000254,2024-04-14,181.95,899,pdgvqs@corp.io,WH05,98.86
SKU-000255,2024-06-06,290.09,49,dlqpan@corp.io,WH04,8.34
SKU-000256,2024-03-24,482.81,23,kifxzg@gmail.com,WH02,63.78
SKU-000257,2024-09-05,264.51,175,qiby@gmail.com,WH03,53.23
SKU-000258,2024-09-22,414.47,958,vilq@gmail.com,WH02,65.6
SKU-000259,2024-12-09,376.94,474,xbisjitk@corp.io,WH02,79.83
