0,0
1,0
2,0
3,0
4,0
4,1
5,1
6,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
12,1
12,2
13,2
13,1
14,1
15,1
16,1
16,0
17,0
18,0
18,1
18,2
19,2
20,2
20,3
19,3
19,4
18,4
17,4
16,4
15,4
15,3
14,3
14,4
14,5
14,6
14,7
15,7
15,6
16,6
17,6
18,6
18,5
19,5
19,6
19,7
19,8
18,8
18,9
17,9
16,9
15,9
15,10
14,10
13,10
13,11
13,12
12,12
12,11
11,11
11,10
10,10
10,9
11,9
12,9
13,9
14,9
14,8
13,8
12,8
11,8
10,8
9,8
9,7
9,6
8,6
7,6
7,7
6,7
6,6
6,5
5,5
4,5
4,6
5,6
5,7
4,7
3,7
3,6
3,5
2,5
1,5
0,5
0,6
1,6
1,7
1,8
1,9
0,9
0,10
0,11
0,12
1,12
1,11
2,11
2,10
3,10
3,9
2,9
2,8
3,8
4,8
4,9
4,10
4,11
5,11
5,10
6,10
6,9
7,9
8,9
8,10
8,11
8,12
9,12
9,11
10,11
10,12
10,13
11,13
11,14
10,14
9,14
8,14
7,14
7,13
6,13
5,13
5,14
6,14
6,15
7,15
8,15
8,16
7,16
7,17
6,17
6,18
6,19
6,20
7,20
7,21
6,21
5,21
4,21
3,21
3,22
2,22
1,22
0,22
0,23
1,23
2,23
2,24
1,24
1,25
1,26
1,27
0,27
0,28
0,29
1,29
1,28
2,28
2,29
3,29
3,28
3,27
4,27
4,26
3,26
3,25
4,25
4,24
3,24
3,23
4,23
5,23
5,22
6,22
6,23
7,23
7,22
8,22
9,22
9,21
8,21
8,20
9,20
9,19
10,19
10,18
10,17
10,16
9,16
9,15
10,15
11,15
12,15
13,15
13,14
13,13
14,13
15,13
16,13
17,13
18,13
18,14
18,15
18,16
19,16
19,15
20,15
20,16
20,17
19,17
18,17
17,17
17,18
16,18
16,19
17,19
17,20
18,20
19,20
19,19
18,19
18,18
19,18
20,18
20,19
20,20
21,20
22,20
23,20
23,19
22,19
22,18
21,18
21,17
21,16
22,16
22,17
23,17
23,18
24,18
24,17
24,16
24,15
23,15
23,14
24,14
24,13
25,13
25,12
25,11
24,11
23,11
23,10
23,9
23,8
22,8
22,9
21,9
21,8
20,8
20,7
21,7
22,7
23,7
24,7
25,7
25,6
26,6
26,5
26,4
27,4
27,5
27,6
28,6
29,6
29,7
28,7
28,8
29,8
29,9
28,9
27,9
26,9
26,10
27,10
28,10
28,11
29,11
29,12
28,12
28,13
29,13
29,14
29,15
28,15
27,15
27,14
27,13
27,12
27,11
26,11
26,12
26,13
26,14
25,14
25,15
26,15
26,16
27,16
28,16
28,17
28,18
29,18
29,19
28,19
28,20
28,21
29,21
29,22
28,22
27,22
26,22
25,22
25,21
25,20
26,20
27,20
27,19
27,18
27,17
26,17
25,17
25,18
26,18
26,19
25,19
24,19
24,20
24,21
23,21
22,21
21,21
21,22
21,23
22,23
23,23
24,23
25,23
25,24
24,24
23,24
23,25
23,26
23,27
24,27
24,28
23,28
22,28
22,27
21,27
20,27
19,27
19,28
19,29
20,29
20,28
21,28
21,29
22,29
23,29
24,29
25,29
26,29
27,29
28,29
28,28
27,28
27,27
26,27
25,27
25,26
24,26
24,25
25,25
26,25
26,26
27,26
27,25
27,24
27,23
28,23
29,23
29,24
29,25
29,26
28,26
28,27
29,27
29,28
29,29
