0,0
0,1
0,2
1,2
2,2
3,2
3,1
3,0
4,0
4,1
5,1
5,0
6,0
6,1
6,2
6,3
7,3
7,2
7,1
7,0
8,0
9,0
9,1
10,1
10,0
11,0
12,0
13,0
13,1
13,2
13,3
14,3
15,3
15,4
14,4
13,4
13,5
14,5
15,5
16,5
17,5
18,5
18,6
19,6
19,5
20,5
21,5
21,6
20,6
20,7
20,8
19,8
19,7
18,7
17,7
16,7
15,7
14,7
14,6
13,6
13,7
12,7
11,7
11,8
10,8
9,8
8,8
8,9
8,10
9,10
9,11
9,12
8,12
8,11
7,11
7,10
7,9
6,9
5,9
4,9
3,9
3,10
3,11
2,11
1,11
1,12
0,12
0,13
0,14
1,14
1,15
0,15
0,16
1,16
2,16
2,17
1,17
0,17
0,18
1,18
1,19
1,20
1,21
2,21
2,22
2,23
2,24
3,24
3,23
3,22
3,21
3,20
2,20
2,19
3,19
3,18
3,17
4,17
4,18
4,19
4,20
4,21
5,21
5,22
5,23
6,23
6,24
5,24
4,24
4,25
5,25
6,25
7,25
7,26
7,27
7,28
7,29
8,29
9,29
9,28
8,28
8,27
8,26
9,26
9,27
10,27
10,26
11,26
12,26
13,26
13,27
14,27
14,26
15,26
16,26
16,27
16,28
16,29
17,29
17,28
17,27
18,27
18,26
19,26
19,27
19,28
19,29
20,29
21,29
21,28
22,28
22,29
23,29
23,28
24,28
24,29
25,29
25,28
26,28
26,29
27,29
27,28
28,28
29,28
29,29
