timestamp,location,sensor,value
2023-12-31T18:48:00.000Z,zone-d,humidity,52.7
2023-12-31T22:51:00.000Z,zone-c,pressure,1008.6
2023-12-31T23:00:00.000Z,zone-a,temperature,15.5
2024-01-01T00:05:00.000Z,zone-d,pressure,994
2024-01-01T01:14:00.000Z,zone-c,light,107.2
2024-01-01T01:24:00.000Z,zone-a,humidity,44.6
2024-01-01T01:49:00.000Z,zone-a,pressure,992.5
2024-01-01T04:04:00.000Z,zone-b,temperature,20.5
2024-01-01T05:35:00.000Z,zone-b,humidity,53.7
2024-01-01T07:34:00.000Z,zone-b,pressure,999.1
2024-01-01T10:51:00.000Z,zone-c,temperature,32.1
2024-01-01T11:15:00.000Z,zone-a,light,875.3
2024-01-01T12:48:00.000Z,zone-c,humidity,62.1
2024-01-01T13:51:00.000Z,zone-d,temperature,20.4
2024-01-01T16:51:00.000Z,zone-d,light,121.1
2024-01-01T17:19:00.000Z,zone-b,light,312.5
2024-01-01T19:26:00.000Z,zone-c,light,164.7
2024-01-01T19:56:00.000Z,zone-d,temperature,25.1
2024-01-01T20:00:00.000Z,zone-b,temperature,19.4
2024-01-01T22:48:00.000Z,zone-b,pressure,1005.7
2024-01-02T01:16:00.000Z,zone-c,humidity,45.8
2024-01-02T04:13:00.000Z,zone-b,light,179.6
2024-01-02T04:14:00.000Z,zone-d,humidity,56.8
2024-01-02T06:10:00.000Z,zone-a,pressure,1010
2024-01-02T06:51:00.000Z,zone-a,light,154.7
2024-01-02T07:10:00.000Z,zone-c,pressure,1011.1
2024-01-02T07:12:00.000Z,zone-c,temperature,20.7
2024-01-02T07:23:00.000Z,zone-a,temperature,16.4
2024-01-02T11:06:00.000Z,zone-d,light,267.8
2024-01-02T11:28:00.000Z,zone-b,humidity,76.5
2024-01-02T12:16:00.000Z,zone-a,humidity,71.6
2024-01-02T14:35:00.000Z,zone-d,pressure,998.1
2024-01-02T20:24:00.000Z,zone-c,temperature,16.1
2024-01-02T23:24:00.000Z,zone-c,light,668.1
2024-01-03T01:39:00.000Z,zone-d,light,439.3
2024-01-03T02:13:00.000Z,zone-b,light,306.6
2024-01-03T05:50:00.000Z,zone-b,humidity,53.9
2024-01-03T06:13:00.000Z,zone-a,light,808
2024-01-03T08:53:00.000Z,zone-a,humidity,78.2
2024-01-03T09:04:00.000Z,zone-d,humidity,45.9
2024-01-03T09:13:00.000Z,zone-c,pressure,1017.1
